Extracto;Presi—n(MPa);Temperatura (¡C);co-solvent (%wt);%rendimiento extracci—n;%THC en extracto seco;%THC en muestra seca;TCH RECOVERY
1;15;40;0;4.83;32.25;1.56;4.58
2;15;80;0;6.32;31.08;1.96;4.41
3;15;80;5;21.17;24.88;5.27;3.53
4;15;40;5;23.36;30.14;7.04;4.28
5;33;80;0;10.41;24.73;2.57;3.51
6;33;80;5;26.36;15.52;4.09;2.2
7;33;40;5;21.49;20.34;4.37;2.89
8;33;40;0;6.32;25.81;1.63;3.67
9;33;60;2;16.01;37.85;6.06;5.38
10;24;80;2;17.43;28.54;5.15;4.2
11;15;60;2;13.97;36.18;5.05;5.14
12;24;40;2;15.57;25.1;3.91;3.57
13;24;60;5;18.27;22.04;4.03;3.13
14;24;60;0;13.06;28.38;3.71;4.03
15;24;60;2;16.39;24.09;3.95;3.42
16;24;60;2;17.18;26.15;4.49;2.71
17;24;60;2;16.13;23.84;3.85;3.39
18;24;60;2;16.61;24.53;4.57;3.48
19;24;60;2;15.48;28.28;4.38;4.02
